Sanskrit,Transliteration,English,Lesson,Type,Category
मङ्गलवासरः,maṅgalavāsaraḥ,Tuesday,L11,vocab,DaysMonths
बुधवासरः,budhavāsaraḥ,Wednesday,L11,vocab,DaysMonths
गुरुवासरः,guruvāsaraḥ,Thursday,L11,vocab,DaysMonths
शुक्रवासरः,śukravāsaraḥ,Friday,L11,vocab,DaysMonths
शनिवासरः,śanivāsaraḥ,Saturday,L12,vocab,DaysMonths
भौमवासरः,bhaumavāsaraḥ,Sunday,L12,vocab,DaysMonths
कथमस्ति,katham asti,How are you?,L12,vocab,QuestionsPhrases
भोजनं कुत्र अस्ति,bhojanaṃ kutra asti,Where is the food?,L12,vocab,QuestionsPhrases
किं नाम ते,kiṃ nāma te,What is your name?,L12,vocab,QuestionsPhrases
कुत्र गच्छसि,kutra gacchasi,Where are you going?,L12,vocab,QuestionsPhrases
शब्द,śabda,Word,L12,vocab,Misc
पात्र,pātra,Vessel,L12,vocab,Misc
रूप,rūpa,Form,L12,vocab,Misc
शब्द0120,śabda0120,Word 120,L12,vocab,Directions
शब्द0121,śabda0121,Word 121,L13,vocab,Emotions
शब्द0122,śabda0122,Word 122,L13,vocab,Emotions
शब्द0123,śabda0123,Word 123,L13,vocab,Emotions
शब्द0124,śabda0124,Word 124,L13,vocab,Emotions
शब्द0125,śabda0125,Word 125,L13,vocab,Emotions
शब्द0126,śabda0126,Word 126,L13,vocab,Emotions
शब्द0127,śabda0127,Word 127,L13,vocab,Emotions
शब्द0128,śabda0128,Word 128,L13,vocab,Emotions
शब्द0129,śabda0129,Word 129,L13,vocab,Emotions
शब्द0130,śabda0130,Word 130,L13,vocab,Emotions
शब्द0131,śabda0131,Word 131,L14,vocab,Professions
शब्द0132,śabda0132,Word 132,L14,vocab,Professions
शब्द0133,śabda0133,Word 133,L14,vocab,Professions
शब्द0134,śabda0134,Word 134,L14,vocab,Professions
शब्द0135,śabda0135,Word 135,L14,vocab,Professions
शब्द0136,śabda0136,Word 136,L14,vocab,Professions
शब्द0137,śabda0137,Word 137,L14,vocab,Professions
शब्द0138,śabda0138,Word 138,L14,vocab,Professions
शब्द0139,śabda0139,Word 139,L14,vocab,Professions
शब्द0140,śabda0140,Word 140,L14,vocab,Professions
शब्द0141,śabda0141,Word 141,L15,vocab,Verbs
शब्द0142,śabda0142,Word 142,L15,vocab,Verbs
शब्द0143,śabda0143,Word 143,L15,vocab,Verbs
शब्द0144,śabda0144,Word 144,L15,vocab,Verbs
शब्द0145,śabda0145,Word 145,L15,vocab,Verbs
शब्द0146,śabda0146,Word 146,L15,vocab,Verbs
शब्द0147,śabda0147,Word 147,L15,vocab,Verbs
शब्द0148,śabda0148,Word 148,L15,vocab,Verbs
शब्द0149,śabda0149,Word 149,L15,vocab,Verbs
शब्द0150,śabda0150,Word 150,L15,vocab,Verbs
शब्द0151,śabda0151,Word 151,L16,vocab,Adjectives
शब्द0152,śabda0152,Word 152,L16,vocab,Adjectives
शब्द0153,śabda0153,Word 153,L16,vocab,Adjectives
शब्द0154,śabda0154,Word 154,L16,vocab,Adjectives
शब्द0155,śabda0155,Word 155,L16,vocab,Adjectives
शब्द0156,śabda0156,Word 156,L16,vocab,Adjectives
शब्द0157,śabda0157,Word 157,L16,vocab,Adjectives
शब्द0158,śabda0158,Word 158,L16,vocab,Adjectives
शब्द0159,śabda0159,Word 159,L16,vocab,Adjectives
शब्द0160,śabda0160,Word 160,L16,vocab,Adjectives
शब्द0161,śabda0161,Word 161,L17,vocab,Prepositions
शब्द0162,śabda0162,Word 162,L17,vocab,Prepositions
शब्द0163,śabda0163,Word 163,L17,vocab,Prepositions
शब्द0164,śabda0164,Word 164,L17,vocab,Prepositions
शब्द0165,śabda0165,Word 165,L17,vocab,Prepositions
शब्द0166,śabda0166,Word 166,L17,vocab,Prepositions
शब्द0167,śabda0167,Word 167,L17,vocab,Prepositions
शब्द0168,śabda0168,Word 168,L17,vocab,Prepositions
शब्द0169,śabda0169,Word 169,L17,vocab,Prepositions
शब्द0170,śabda0170,Word 170,L17,vocab,Prepositions
शब्द0171,śabda0171,Word 171,L18,vocab,Pronouns
शब्द0172,śabda0172,Word 172,L18,vocab,Pronouns
शब्द0173,śabda0173,Word 173,L18,vocab,Pronouns
शब्द0174,śabda0174,Word 174,L18,vocab,Pronouns
शब्द0175,śabda0175,Word 175,L18,vocab,Pronouns
शब्द0176,śabda0176,Word 176,L18,vocab,Pronouns
शब्द0177,śabda0177,Word 177,L18,vocab,Pronouns
शब्द0178,śabda0178,Word 178,L18,vocab,Pronouns
शब्द0179,śabda0179,Word 179,L18,vocab,Pronouns
शब्द0180,śabda0180,Word 180,L18,vocab,Pronouns
शब्द0181,śabda0181,Word 181,L19,vocab,DaysMonths
शब्द0182,śabda0182,Word 182,L19,vocab,DaysMonths
शब्द0183,śabda0183,Word 183,L19,vocab,DaysMonths
शब्द0184,śabda0184,Word 184,L19,vocab,DaysMonths
शब्द0185,śabda0185,Word 185,L19,vocab,DaysMonths
शब्द0186,śabda0186,Word 186,L19,vocab,DaysMonths
शब्द0187,śabda0187,Word 187,L19,vocab,DaysMonths
शब्द0188,śabda0188,Word 188,L19,vocab,DaysMonths
शब्द0189,śabda0189,Word 189,L19,vocab,DaysMonths
शब्द0190,śabda0190,Word 190,L19,vocab,DaysMonths
शब्द0191,śabda0191,Word 191,L20,vocab,QuestionsPhrases
शब्द0192,śabda0192,Word 192,L20,vocab,QuestionsPhrases
शब्द0193,śabda0193,Word 193,L20,vocab,QuestionsPhrases
शब्द0194,śabda0194,Word 194,L20,vocab,QuestionsPhrases
शब्द0195,śabda0195,Word 195,L20,vocab,QuestionsPhrases
शब्द0196,śabda0196,Word 196,L20,vocab,QuestionsPhrases
शब्द0197,śabda0197,Word 197,L20,vocab,QuestionsPhrases
शब्द0198,śabda0198,Word 198,L20,vocab,QuestionsPhrases
शब्द0199,śabda0199,Word 199,L20,vocab,QuestionsPhrases
शब्द0200,śabda0200,Word 200,L20,vocab,QuestionsPhrases
शब्द0201,śabda0201,Word 201,L21,vocab,Misc
शब्द0202,śabda0202,Word 202,L21,vocab,Misc
शब्द0203,śabda0203,Word 203,L21,vocab,Misc
शब्द0204,śabda0204,Word 204,L21,vocab,Misc
शब्द0205,śabda0205,Word 205,L21,vocab,Misc
शब्द0206,śabda0206,Word 206,L21,vocab,Misc
शब्द0207,śabda0207,Word 207,L21,vocab,Misc
शब्द0208,śabda0208,Word 208,L21,vocab,Misc
शब्द0209,śabda0209,Word 209,L21,vocab,Misc
शब्द0210,śabda0210,Word 210,L21,vocab,Misc
शब्द0211,śabda0211,Word 211,L22,vocab,Greetings
शब्द0212,śabda0212,Word 212,L22,vocab,Greetings
शब्द0213,śabda0213,Word 213,L22,vocab,Greetings
शब्द0214,śabda0214,Word 214,L22,vocab,Greetings
शब्द0215,śabda0215,Word 215,L22,vocab,Greetings
शब्द0216,śabda0216,Word 216,L22,vocab,Greetings
शब्द0217,śabda0217,Word 217,L22,vocab,Greetings
शब्द0218,śabda0218,Word 218,L22,vocab,Greetings
शब्द0219,śabda0219,Word 219,L22,vocab,Greetings
शब्द0220,śabda0220,Word 220,L22,vocab,Greetings
शब्द0221,śabda0221,Word 221,L23,vocab,Numbers
शब्द0222,śabda0222,Word 222,L23,vocab,Numbers
शब्द0223,śabda0223,Word 223,L23,vocab,Numbers
शब्द0224,śabda0224,Word 224,L23,vocab,Numbers
शब्द0225,śabda0225,Word 225,L23,vocab,Numbers
शब्द0226,śabda0226,Word 226,L23,vocab,Numbers
शब्द0227,śabda0227,Word 227,L23,vocab,Numbers
शब्द0228,śabda0228,Word 228,L23,vocab,Numbers
शब्द0229,śabda0229,Word 229,L23,vocab,Numbers
शब्द0230,śabda0230,Word 230,L23,vocab,Numbers
शब्द0231,śabda0231,Word 231,L24,vocab,Family
शब्द0232,śabda0232,Word 232,L24,vocab,Family
शब्द0233,śabda0233,Word 233,L24,vocab,Family
शब्द0234,śabda0234,Word 234,L24,vocab,Family
शब्द0235,śabda0235,Word 235,L24,vocab,Family
शब्द0236,śabda0236,Word 236,L24,vocab,Family
शब्द0237,śabda0237,Word 237,L24,vocab,Family
शब्द0238,śabda0238,Word 238,L24,vocab,Family
शब्द0239,śabda0239,Word 239,L24,vocab,Family
शब्द0240,śabda0240,Word 240,L24,vocab,Family
शब्द0241,śabda0241,Word 241,L25,vocab,Food
शब्द0242,śabda0242,Word 242,L25,vocab,Food
शब्द0243,śabda0243,Word 243,L25,vocab,Food
शब्द0244,śabda0244,Word 244,L25,vocab,Food
शब्द0245,śabda0245,Word 245,L25,vocab,Food
शब्द0246,śabda0246,Word 246,L25,vocab,Food
शब्द0247,śabda0247,Word 247,L25,vocab,Food
शब्द0248,śabda0248,Word 248,L25,vocab,Food
शब्द0249,śabda0249,Word 249,L25,vocab,Food
शब्द0250,śabda0250,Word 250,L25,vocab,Food
शब्द0251,śabda0251,Word 251,L26,vocab,Animals
शब्द0252,śabda0252,Word 252,L26,vocab,Animals
शब्द0253,śabda0253,Word 253,L26,vocab,Animals
शब्द0254,śabda0254,Word 254,L26,vocab,Animals
शब्द0255,śabda0255,Word 255,L26,vocab,Animals
शब्द0256,śabda0256,Word 256,L26,vocab,Animals
शब्द0257,śabda0257,Word 257,L26,vocab,Animals
शब्द0258,śabda0258,Word 258,L26,vocab,Animals
शब्द0259,śabda0259,Word 259,L26,vocab,Animals
शब्द0260,śabda0260,Word 260,L26,vocab,Animals
शब्द0261,śabda0261,Word 261,L27,vocab,Colors
शब्द0262,śabda0262,Word 262,L27,vocab,Colors
शब्द0263,śabda0263,Word 263,L27,vocab,Colors
शब्द0264,śabda0264,Word 264,L27,vocab,Colors
शब्द0265,śabda0265,Word 265,L27,vocab,Colors
शब्द0266,śabda0266,Word 266,L27,vocab,Colors
शब्द0267,śabda0267,Word 267,L27,vocab,Colors
शब्द0268,śabda0268,Word 268,L27,vocab,Colors
शब्द0269,śabda0269,Word 269,L27,vocab,Colors
शब्द0270,śabda0270,Word 270,L27,vocab,Colors
शब्द0271,śabda0271,Word 271,L28,vocab,Body Parts
शब्द0272,śabda0272,Word 272,L28,vocab,Body Parts
शब्द0273,śabda0273,Word 273,L28,vocab,Body Parts
शब्द0274,śabda0274,Word 274,L28,vocab,Body Parts
शब्द0275,śabda0275,Word 275,L28,vocab,Body Parts
शब्द0276,śabda0276,Word 276,L28,vocab,Body Parts
शब्द0277,śabda0277,Word 277,L28,vocab,Body Parts
शब्द0278,śabda0278,Word 278,L28,vocab,Body Parts
शब्द0279,śabda0279,Word 279,L28,vocab,Body Parts
शब्द0280,śabda0280,Word 280,L28,vocab,Body Parts
शब्द0281,śabda0281,Word 281,L29,vocab,Nature
शब्द0282,śabda0282,Word 282,L29,vocab,Nature
शब्द0283,śabda0283,Word 283,L29,vocab,Nature
शब्द0284,śabda0284,Word 284,L29,vocab,Nature
शब्द0285,śabda0285,Word 285,L29,vocab,Nature
शब्द0286,śabda0286,Word 286,L29,vocab,Nature
शब्द0287,śabda0287,Word 287,L29,vocab,Nature
शब्द0288,śabda0288,Word 288,L29,vocab,Nature
शब्द0289,śabda0289,Word 289,L29,vocab,Nature
शब्द0290,śabda0290,Word 290,L29,vocab,Nature
शब्द0291,śabda0291,Word 291,L30,vocab,Household
शब्द0292,śabda0292,Word 292,L30,vocab,Household
शब्द0293,śabda0293,Word 293,L30,vocab,Household
शब्द0294,śabda0294,Word 294,L30,vocab,Household
शब्द0295,śabda0295,Word 295,L30,vocab,Household
शब्द0296,śabda0296,Word 296,L30,vocab,Household
शब्द0297,śabda0297,Word 297,L30,vocab,Household
शब्द0298,śabda0298,Word 298,L30,vocab,Household
शब्द0299,śabda0299,Word 299,L30,vocab,Household
शब्द0300,śabda0300,Word 300,L30,vocab,Household
शब्द0301,śabda0301,Word 301,L31,vocab,Clothing
शब्द0302,śabda0302,Word 302,L31,vocab,Clothing
शब्द0303,śabda0303,Word 303,L31,vocab,Clothing
शब्द0304,śabda0304,Word 304,L31,vocab,Clothing
शब्द0305,śabda0305,Word 305,L31,vocab,Clothing
शब्द0306,śabda0306,Word 306,L31,vocab,Clothing
शब्द0307,śabda0307,Word 307,L31,vocab,Clothing
शब्द0308,śabda0308,Word 308,L31,vocab,Clothing
शब्द0309,śabda0309,Word 309,L31,vocab,Clothing
शब्द0310,śabda0310,Word 310,L31,vocab,Clothing
शब्द0311,śabda0311,Word 311,L32,vocab,Time
शब्द0312,śabda0312,Word 312,L32,vocab,Time
शब्द0313,śabda0313,Word 313,L32,vocab,Time
शब्द0314,śabda0314,Word 314,L32,vocab,Time
शब्द0315,śabda0315,Word 315,L32,vocab,Time
शब्द0316,śabda0316,Word 316,L32,vocab,Time
शब्द0317,śabda0317,Word 317,L32,vocab,Time
शब्द0318,śabda0318,Word 318,L32,vocab,Time
शब्द0319,śabda0319,Word 319,L32,vocab,Time
शब्द0320,śabda0320,Word 320,L32,vocab,Time
शब्द0321,śabda0321,Word 321,L33,vocab,Directions
शब्द0322,śabda0322,Word 322,L33,vocab,Directions
शब्द0323,śabda0323,Word 323,L33,vocab,Directions
शब्द0324,śabda0324,Word 324,L33,vocab,Directions
शब्द0325,śabda0325,Word 325,L33,vocab,Directions
शब्द0326,śabda0326,Word 326,L33,vocab,Directions
शब्द0327,śabda0327,Word 327,L33,vocab,Directions
शब्द0328,śabda0328,Word 328,L33,vocab,Directions
शब्द0329,śabda0329,Word 329,L33,vocab,Directions
शब्द0330,śabda0330,Word 330,L33,vocab,Directions
शब्द0331,śabda0331,Word 331,L34,vocab,Emotions
शब्द0332,śabda0332,Word 332,L34,vocab,Emotions
शब्द0333,śabda0333,Word 333,L34,vocab,Emotions
शब्द0334,śabda0334,Word 334,L34,vocab,Emotions
शब्द0335,śabda0335,Word 335,L34,vocab,Emotions
शब्द0336,śabda0336,Word 336,L34,vocab,Emotions
शब्द0337,śabda0337,Word 337,L34,vocab,Emotions
शब्द0338,śabda0338,Word 338,L34,vocab,Emotions
शब्द0339,śabda0339,Word 339,L34,vocab,Emotions
शब्द0340,śabda0340,Word 340,L34,vocab,Emotions
शब्द0341,śabda0341,Word 341,L35,vocab,Professions
शब्द0342,śabda0342,Word 342,L35,vocab,Professions
शब्द0343,śabda0343,Word 343,L35,vocab,Professions
शब्द0344,śabda0344,Word 344,L35,vocab,Professions
शब्द0345,śabda0345,Word 345,L35,vocab,Professions
शब्द0346,śabda0346,Word 346,L35,vocab,Professions
शब्द0347,śabda0347,Word 347,L35,vocab,Professions
शब्द0348,śabda0348,Word 348,L35,vocab,Professions
शब्द0349,śabda0349,Word 349,L35,vocab,Professions
शब्द0350,śabda0350,Word 350,L35,vocab,Professions
शब्द0351,śabda0351,Word 351,L36,vocab,Verbs
शब्द0352,śabda0352,Word 352,L36,vocab,Verbs
शब्द0353,śabda0353,Word 353,L36,vocab,Verbs
शब्द0354,śabda0354,Word 354,L36,vocab,Verbs
शब्द0355,śabda0355,Word 355,L36,vocab,Verbs
शब्द0356,śabda0356,Word 356,L36,vocab,Verbs
शब्द0357,śabda0357,Word 357,L36,vocab,Verbs
शब्द0358,śabda0358,Word 358,L36,vocab,Verbs
शब्द0359,śabda0359,Word 359,L36,vocab,Verbs
शब्द0360,śabda0360,Word 360,L36,vocab,Verbs
शब्द0361,śabda0361,Word 361,L37,vocab,Adjectives
शब्द0362,śabda0362,Word 362,L37,vocab,Adjectives
शब्द0363,śabda0363,Word 363,L37,vocab,Adjectives
शब्द0364,śabda0364,Word 364,L37,vocab,Adjectives
शब्द0365,śabda0365,Word 365,L37,vocab,Adjectives
शब्द0366,śabda0366,Word 366,L37,vocab,Adjectives
शब्द0367,śabda0367,Word 367,L37,vocab,Adjectives
शब्द0368,śabda0368,Word 368,L37,vocab,Adjectives
शब्द0369,śabda0369,Word 369,L37,vocab,Adjectives
शब्द0370,śabda0370,Word 370,L37,vocab,Adjectives
शब्द0371,śabda0371,Word 371,L38,vocab,Prepositions
शब्द0372,śabda0372,Word 372,L38,vocab,Prepositions
शब्द0373,śabda0373,Word 373,L38,vocab,Prepositions
शब्द0374,śabda0374,Word 374,L38,vocab,Prepositions
शब्द0375,śabda0375,Word 375,L38,vocab,Prepositions
शब्द0376,śabda0376,Word 376,L38,vocab,Prepositions
शब्द0377,śabda0377,Word 377,L38,vocab,Prepositions
शब्द0378,śabda0378,Word 378,L38,vocab,Prepositions
शब्द0379,śabda0379,Word 379,L38,vocab,Prepositions
शब्द0380,śabda0380,Word 380,L38,vocab,Prepositions
शब्द0381,śabda0381,Word 381,L39,vocab,Pronouns
शब्द0382,śabda0382,Word 382,L39,vocab,Pronouns
शब्द0383,śabda0383,Word 383,L39,vocab,Pronouns
शब्द0384,śabda0384,Word 384,L39,vocab,Pronouns
शब्द0385,śabda0385,Word 385,L39,vocab,Pronouns
शब्द0386,śabda0386,Word 386,L39,vocab,Pronouns
शब्द0387,śabda0387,Word 387,L39,vocab,Pronouns
शब्द0388,śabda0388,Word 388,L39,vocab,Pronouns
शब्द0389,śabda0389,Word 389,L39,vocab,Pronouns
शब्द0390,śabda0390,Word 390,L39,vocab,Pronouns
शब्द0391,śabda0391,Word 391,L40,vocab,DaysMonths
शब्द0392,śabda0392,Word 392,L40,vocab,DaysMonths
शब्द0393,śabda0393,Word 393,L40,vocab,DaysMonths
शब्द0394,śabda0394,Word 394,L40,vocab,DaysMonths
शब्द0395,śabda0395,Word 395,L40,vocab,DaysMonths
शब्द0396,śabda0396,Word 396,L40,vocab,DaysMonths
शब्द0397,śabda0397,Word 397,L40,vocab,DaysMonths
शब्द0398,śabda0398,Word 398,L40,vocab,DaysMonths
शब्द0399,śabda0399,Word 399,L40,vocab,DaysMonths
शब्द0400,śabda0400,Word 400,L40,vocab,DaysMonths
शब्द0401,śabda0401,Word 401,L41,vocab,QuestionsPhrases
शब्द0402,śabda0402,Word 402,L41,vocab,QuestionsPhrases
शब्द0403,śabda0403,Word 403,L41,vocab,QuestionsPhrases
शब्द0404,śabda0404,Word 404,L41,vocab,QuestionsPhrases
शब्द0405,śabda0405,Word 405,L41,vocab,QuestionsPhrases
शब्द0406,śabda0406,Word 406,L41,vocab,QuestionsPhrases
शब्द0407,śabda0407,Word 407,L41,vocab,QuestionsPhrases
शब्द0408,śabda0408,Word 408,L41,vocab,QuestionsPhrases
शब्द0409,śabda0409,Word 409,L41,vocab,QuestionsPhrases
शब्द0410,śabda0410,Word 410,L41,vocab,QuestionsPhrases
शब्द0411,śabda0411,Word 411,L42,vocab,Misc
शब्द0412,śabda0412,Word 412,L42,vocab,Misc
शब्द0413,śabda0413,Word 413,L42,vocab,Misc
शब्द0414,śabda0414,Word 414,L42,vocab,Misc
शब्द0415,śabda0415,Word 415,L42,vocab,Misc
शब्द0416,śabda0416,Word 416,L42,vocab,Misc
शब्द0417,śabda0417,Word 417,L42,vocab,Misc
शब्द0418,śabda0418,Word 418,L42,vocab,Misc
शब्द0419,śabda0419,Word 419,L42,vocab,Misc
शब्द0420,śabda0420,Word 420,L42,vocab,Misc
शब्द0421,śabda0421,Word 421,L43,vocab,Greetings
शब्द0422,śabda0422,Word 422,L43,vocab,Greetings
शब्द0423,śabda0423,Word 423,L43,vocab,Greetings
शब्द0424,śabda0424,Word 424,L43,vocab,Greetings
शब्द0425,śabda0425,Word 425,L43,vocab,Greetings
शब्द0426,śabda0426,Word 426,L43,vocab,Greetings
शब्द0427,śabda0427,Word 427,L43,vocab,Greetings
शब्द0428,śabda0428,Word 428,L43,vocab,Greetings
शब्द0429,śabda0429,Word 429,L43,vocab,Greetings
शब्द0430,śabda0430,Word 430,L43,vocab,Greetings
शब्द0431,śabda0431,Word 431,L44,vocab,Numbers
शब्द0432,śabda0432,Word 432,L44,vocab,Numbers
शब्द0433,śabda0433,Word 433,L44,vocab,Numbers
शब्द0434,śabda0434,Word 434,L44,vocab,Numbers
शब्द0435,śabda0435,Word 435,L44,vocab,Numbers
शब्द0436,śabda0436,Word 436,L44,vocab,Numbers
शब्द0437,śabda0437,Word 437,L44,vocab,Numbers
शब्द0438,śabda0438,Word 438,L44,vocab,Numbers
शब्द0439,śabda0439,Word 439,L44,vocab,Numbers
शब्द0440,śabda0440,Word 440,L44,vocab,Numbers
शब्द0441,śabda0441,Word 441,L45,vocab,Family
शब्द0442,śabda0442,Word 442,L45,vocab,Family
शब्द0443,śabda0443,Word 443,L45,vocab,Family
शब्द0444,śabda0444,Word 444,L45,vocab,Family
शब्द0445,śabda0445,Word 445,L45,vocab,Family
शब्द0446,śabda0446,Word 446,L45,vocab,Family
शब्द0447,śabda0447,Word 447,L45,vocab,Family
शब्द0448,śabda0448,Word 448,L45,vocab,Family
शब्द0449,śabda0449,Word 449,L45,vocab,Family
शब्द0450,śabda0450,Word 450,L45,vocab,Family
शब्द0451,śabda0451,Word 451,L46,vocab,Food
शब्द0452,śabda0452,Word 452,L46,vocab,Food
शब्द0453,śabda0453,Word 453,L46,vocab,Food
शब्द0454,śabda0454,Word 454,L46,vocab,Food
शब्द0455,śabda0455,Word 455,L46,vocab,Food
शब्द0456,śabda0456,Word 456,L46,vocab,Food
शब्द0457,śabda0457,Word 457,L46,vocab,Food
शब्द0458,śabda0458,Word 458,L46,vocab,Food
शब्द0459,śabda0459,Word 459,L46,vocab,Food
शब्द0460,śabda0460,Word 460,L46,vocab,Food
शब्द0461,śabda0461,Word 461,L47,vocab,Animals
शब्द0462,śabda0462,Word 462,L47,vocab,Animals
शब्द0463,śabda0463,Word 463,L47,vocab,Animals
शब्द0464,śabda0464,Word 464,L47,vocab,Animals
शब्द0465,śabda0465,Word 465,L47,vocab,Animals
शब्द0466,śabda0466,Word 466,L47,vocab,Animals
शब्द0467,śabda0467,Word 467,L47,vocab,Animals
शब्द0468,śabda0468,Word 468,L47,vocab,Animals
शब्द0469,śabda0469,Word 469,L47,vocab,Animals
शब्द0470,śabda0470,Word 470,L47,vocab,Animals
